Book,Time,Action,Bonus,Change,Balance
Caesars,2022-02-08 00:04:00,Deposit,,100.0,100.0
Caesars,2022-02-08 00:08:00,Wager,,-20.0,80.0
Caesars,2022-02-08 16:29:00,Wager,,-6.0,74.0
Caesars,2022-02-08 23:20:00,Winnings,,21.0,95.0
Caesars,2022-02-09 00:32:00,Winnings,,38.18,133.18
Caesars,2022-02-09 17:42:00,Wager,,-5.0,128.18
Caesars,2022-02-10 00:54:00,Winnings,,10.5,138.68
Caesars,2022-02-10 16:15:00,Wager,,-25.0,113.68
Caesars,2022-02-10 16:16:00,Wager,,-25.0,88.68
Caesars,2022-02-11 09:18:00,Wager,,-15.0,73.68
Caesars,2022-02-11 21:18:00,Winnings,,28.64,102.32
Caesars,2022-02-12 11:32:00,Winnings,Bonus,25.0,102.32
Caesars,2022-02-12 11:32:00,Wager,,-25.0,102.32
Caesars,2022-02-13 12:17:00,Winnings,Bonus,50.0,102.32
Caesars,2022-02-13 12:17:00,Wager,,-50.0,102.32
Caesars,2022-02-13 16:11:00,Wager,,-50.0,102.32
Caesars,2022-02-13 16:11:00,Winnings,Bonus,50.0,102.32
Caesars,2022-02-13 18:42:00,Winnings,,50.0,152.32
Caesars,2022-02-13 22:03:00,Winnings,,45.45,197.77
Caesars,2022-02-14 18:50:00,Winnings,Bonus,15.0,197.77
Caesars,2022-02-14 18:50:00,Wager,,-15.0,197.77
Caesars,2022-02-14 18:58:00,Wager,,-14.0,183.77
Caesars,2022-02-14 22:46:00,Winnings,,57.4,241.17
Caesars,2022-02-15 20:28:00,Wager,,-25.0,216.17
Caesars,2022-02-17 19:14:00,Winnings,Bonus,14.0,216.17
Caesars,2022-02-17 19:14:00,Wager,,-14.0,216.17
Caesars,2022-02-17 23:36:00,Winnings,,19.6,235.77
Caesars,2022-02-18 17:39:00,Wager,,-20.0,215.77
Caesars,2022-02-18 22:37:00,Winnings,,35.38,251.15
Caesars,2022-02-19 11:25:00,Wager,,-50.0,201.15
Caesars,2022-02-19 14:12:00,Winnings,,95.45,296.6
Caesars,2022-02-20 11:01:00,Winnings,Bonus,20.0,296.6
Caesars,2022-02-20 11:01:00,Wager,,-20.0,296.6
Caesars,2022-02-20 20:42:00,Winnings,,28.0,324.6
Caesars,2022-02-22 10:10:00,Wager,,-25.0,299.6
Caesars,2022-02-22 20:58:00,Winnings,,47.73,347.33
Caesars,2022-02-23 18:40:00,Winnings,Bonus,24.0,347.33
Caesars,2022-02-23 18:40:00,Wager,,-24.0,347.33
Caesars,2022-02-23 23:20:00,Winnings,,27.65,374.98
Caesars,2022-02-24 18:37:00,Wager,,-13.0,361.98
Caesars,2022-02-24 18:42:00,Wager,,-10.0,351.98
Caesars,2022-02-24 21:31:00,Winnings,,10.0,361.98
Caesars,2022-02-24 22:36:00,Winnings,,31.2,393.18
Caesars,2022-02-25 16:48:00,Wager,,-50.0,393.18
Caesars,2022-02-25 16:48:00,Winnings,Bonus,50.0,393.18
Caesars,2022-02-25 22:15:00,Winnings,,45.45,438.63
Caesars,2022-02-26 09:37:00,Wager,,-25.0,413.63
Caesars,2022-02-26 09:39:00,Wager,,-25.0,388.63
Caesars,2022-02-26 09:40:00,Wager,,-13.0,375.63
Caesars,2022-02-26 23:24:00,Winnings,,47.73,423.36
Caesars,2022-02-28 20:09:00,Wager,,-28.0,423.36
Caesars,2022-02-28 20:09:00,Winnings,Bonus,28.0,423.36
Caesars,2022-03-01 16:52:00,Wager,,-25.0,423.36
Caesars,2022-03-01 16:52:00,Winnings,Bonus,25.0,423.36
Caesars,2022-03-02 16:57:00,Winnings,Bonus,5.0,423.36
Caesars,2022-03-02 16:57:00,Wager,,-5.0,423.36
Caesars,2022-03-02 16:59:00,Wager,,-3.0,420.36
Caesars,2022-03-02 17:43:00,Winnings,Bonus,50.0,420.36
Caesars,2022-03-02 17:43:00,Wager,,-50.0,420.36
Caesars,2022-03-02 22:08:00,Winnings,,45.45,465.81
Caesars,2022-03-04 16:40:00,Wager,,-8.0,457.81
Caesars,2022-03-04 23:39:00,Winnings,,17.2,475.01
Caesars,2022-03-05 11:17:00,Wager,,-12.0,463.01
Caesars,2022-03-05 18:10:00,Wager,,-3.01,460.0
Caesars,2022-03-08 16:26:00,Wager,,-50.0,410.0
Caesars,2022-03-08 16:37:00,Winnings,Bonus,50.0,410.0
Caesars,2022-03-08 16:37:00,Wager,,-50.0,410.0
Caesars,2022-03-08 21:40:00,Winnings,,91.67,501.67
Caesars,2022-03-08 23:13:00,Winnings,,45.45,547.12
Caesars,2022-03-09 15:46:00,Wager,,-5.0,547.12
Caesars,2022-03-09 15:46:00,Winnings,Bonus,5.0,547.12
Caesars,2022-03-09 18:48:00,Winnings,Bonus,50.0,547.12
Caesars,2022-03-09 18:48:00,Wager,,-50.0,547.12
Caesars,2022-03-09 21:02:00,Winnings,,45.45,592.57
