Book,Time,Action,Bonus,Change,Balance
Draftkings,2021-11-07 10:00:00,Deposit,,150.0,150.0
Draftkings,2021-11-07 10:03:00,Wager,,-5.0,145.0
Draftkings,2021-11-07 20:19:00,Wager,,-10.0,135.0
Draftkings,2021-11-08 13:27:00,Wager,,-7.0,128.0
Draftkings,2021-11-08 18:50:00,Wager,,-10.0,118.0
Draftkings,2021-11-08 23:48:00,Winnings,,23.45,141.45
Draftkings,2021-11-08 23:48:00,Winnings,,8.22,149.67
Draftkings,2021-11-08 23:49:00,Winnings,Bonus,1.0,150.67
Draftkings,2021-11-09 00:26:00,Winnings,,36.0,186.67
Draftkings,2021-11-09 18:52:00,Wager,,-0.67,186.0
Draftkings,2021-11-09 19:23:00,Wager,,-10.0,176.0
Draftkings,2021-11-10 00:11:00,Winnings,,71.42,247.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,248.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,249.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,250.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,251.42
Draftkings,2021-11-10 00:17:00,Winnings,,2.01,253.43
Draftkings,2021-11-10 00:17:00,Winnings,,0.67,254.1
Draftkings,2021-11-10 17:38:00,Wager,,-10.0,244.1
Draftkings,2021-11-10 22:19:00,Winnings,,16.06,260.16
Draftkings,2021-11-10 22:19:00,Winnings,,3.03,263.19
Draftkings,2021-11-10 22:31:00,Winnings,Bonus,1.0,264.19
Draftkings,2021-11-11 12:25:00,Wager,,-10.0,254.19
Draftkings,2021-11-12 18:30:00,Wager,,-1.19,253.0
Draftkings,2021-11-12 20:03:00,Wager,,-2.0,251.0
Draftkings,2021-11-12 22:38:00,Winnings,Bonus,1.0,252.0
Draftkings,2021-11-13 12:24:00,Wager,,-10.0,242.0
Draftkings,2021-11-13 12:26:00,Wager,,-2.0,240.0
Draftkings,2021-11-13 19:04:00,Winnings,Bonus,1.0,241.0
Draftkings,2021-11-14 10:47:00,Wager,,-2.0,239.0
Draftkings,2021-11-14 12:50:00,Wager,,-5.0,234.0
Draftkings,2021-11-14 13:35:00,Winnings,,7.85,241.85
Draftkings,2021-11-14 13:35:00,Winnings,,2.15,244.0
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,245.0
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,248.0
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,246.0
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,247.0
Draftkings,2021-11-14 17:03:00,Wager,,-10.0,238.0
Draftkings,2021-11-14 17:15:00,Winnings,Bonus,1.0,239.0
Draftkings,2021-11-14 19:22:00,Winnings,Bonus,1.0,240.0
Draftkings,2021-11-14 19:43:00,Wager,,-5.0,235.0
Draftkings,2021-11-14 19:48:00,Wager,,-1.0,234.0
Draftkings,2021-11-15 15:53:00,Wager,,-14.0,220.0
Draftkings,2021-11-15 23:10:00,Winnings,Bonus,1.0,221.0
Draftkings,2021-11-16 19:58:00,Wager,,-1.0,220.0
Draftkings,2021-11-17 16:23:00,Wager,,-5.0,215.0
Draftkings,2021-11-18 23:43:00,Wager,,-5.0,210.0
Draftkings,2021-11-28 20:17:00,Wager,,-10.0,200.0
Draftkings,2021-11-29 00:13:00,Winnings,Bonus,1.0,201.0
Draftkings,2021-11-29 14:01:00,Wager,,-10.0,191.0
Draftkings,2021-11-29 14:02:00,Wager,,-1.0,190.0
Draftkings,2021-11-30 10:26:00,Wager,,-2.0,188.0
Draftkings,2021-11-30 18:39:00,Wager,,-12.0,176.0
Draftkings,2021-11-30 18:41:00,Wager,,-6.0,170.0
Draftkings,2021-11-30 21:29:00,Winnings,,9.52,179.52
Draftkings,2021-11-30 21:32:00,Winnings,Bonus,1.0,180.52
Draftkings,2021-11-30 23:45:00,Winnings,,13.29,193.81
Draftkings,2021-11-30 23:46:00,Winnings,,3.73,197.54
Draftkings,2021-12-01 00:20:00,Winnings,,17.45,214.99
Draftkings,2021-12-01 00:20:00,Winnings,,2.73,217.72
Draftkings,2021-12-01 00:21:00,Winnings,,11.45,229.17
Draftkings,2021-12-01 00:21:00,Winnings,,1.36,230.53
Draftkings,2021-12-01 00:23:00,Winnings,Bonus,1.0,231.53
Draftkings,2021-12-01 18:29:00,Wager,,-10.0,221.53
Draftkings,2021-12-01 21:19:00,Winnings,,5.5,248.03
Draftkings,2021-12-01 21:19:00,Winnings,,21.0,242.53
Draftkings,2021-12-02 19:58:00,Wager,,-10.0,238.03
Draftkings,2021-12-03 15:44:00,Wager,,-50.0,188.03
Draftkings,2021-12-03 23:39:00,Winnings,Bonus,1.0,189.03
Draftkings,2021-12-03 23:39:00,Winnings,Bonus,1.0,190.03
Draftkings,2021-12-04 12:02:00,Wager,,-13.0,177.03
Draftkings,2021-12-04 12:03:00,Wager,,-2.03,175.0
Draftkings,2021-12-04 12:07:00,Wager,,-10.0,165.0
Draftkings,2021-12-04 19:03:00,Winnings,Bonus,1.0,166.0
Draftkings,2021-12-05 14:43:00,Wager,,-0.5,165.5
Draftkings,2021-12-05 15:58:00,Winnings,Bonus,1.0,166.5
Draftkings,2021-12-05 19:37:00,Winnings,Bonus,1.0,167.5
Draftkings,2021-12-05 21:07:00,Wager,,-1.5,166.0
Draftkings,2021-12-05 23:16:00,Winnings,,21.81,187.81
Draftkings,2021-12-05 23:16:00,Winnings,Bonus,1.0,197.5
Draftkings,2021-12-05 23:16:00,Winnings,,8.69,196.5
Draftkings,2021-12-06 19:01:00,Wager,,-5.0,192.5
Draftkings,2021-12-06 19:18:00,Wager,,-2.0,190.5
Draftkings,2021-12-06 20:40:00,Winnings,,5.0,195.5
Draftkings,2021-12-06 20:40:00,Winnings,,0.99,196.49
Draftkings,2021-12-06 21:22:00,Winnings,Bonus,1.0,197.49
Draftkings,2021-12-07 18:49:00,Wager,,-12.0,185.49
Draftkings,2021-12-07 21:55:00,Winnings,,22.43,207.92
Draftkings,2021-12-07 21:56:00,Winnings,,5.22,213.14
Draftkings,2021-12-08 17:27:00,Wager,,-1.14,212.0
Draftkings,2021-12-08 19:19:00,Wager,,-1.0,211.0
Draftkings,2021-12-09 14:23:00,Wager,,-9.0,202.0
Draftkings,2021-12-09 20:28:00,Winnings,,13.28,215.28
Draftkings,2021-12-09 20:29:00,Winnings,,3.91,219.19
Draftkings,2021-12-09 22:40:00,Winnings,Bonus,1.0,220.19
Draftkings,2021-12-12 12:52:00,Wager,,-1.0,219.19
Draftkings,2021-12-12 12:56:00,Wager,,-7.0,212.19
Draftkings,2021-12-14 14:47:00,Wager,,-12.19,200.0
Draftkings,2021-12-15 00:44:00,Winnings,,5.54,228.81
Draftkings,2021-12-15 00:44:00,Winnings,,23.27,223.27
Draftkings,2021-12-15 00:46:00,Winnings,Bonus,1.0,229.81
Draftkings,2021-12-16 10:56:00,Wager,,-17.0,212.81
Draftkings,2021-12-20 23:21:00,Winnings,Bonus,1.0,213.81
Draftkings,2022-01-09 10:04:00,Wager,,-7.0,206.81
Draftkings,2022-01-09 18:58:00,Winnings,Bonus,1.0,207.81
Draftkings,2022-01-09 23:58:00,Wager,,-10.0,197.81
Draftkings,2022-01-10 00:05:00,Winnings,,23.5,221.31
Draftkings,2022-01-10 17:46:00,Wager,,-10.0,211.31
Draftkings,2022-01-10 23:58:00,Winnings,,28.0,239.31
Draftkings,2022-01-11 00:00:00,Winnings,,4.5,243.81
Draftkings,2022-01-11 00:01:00,Winnings,Bonus,1.0,244.81
Draftkings,2022-01-12 17:14:00,Wager,,-5.0,239.81
Draftkings,2022-01-12 17:14:00,Wager,,-5.0,234.81
Draftkings,2022-01-12 17:17:00,Wager,,-5.0,229.81
Draftkings,2022-01-12 20:54:00,Winnings,,10.0,239.81
Draftkings,2022-01-12 20:54:00,Winnings,,1.25,241.06
Draftkings,2022-01-12 20:59:00,Winnings,,9.54,250.6
Draftkings,2022-01-12 21:00:00,Winnings,,1.14,251.74
Draftkings,2022-01-12 21:06:00,Winnings,,1.81,265.8
Draftkings,2022-01-12 21:06:00,Winnings,,12.25,263.99
Draftkings,2022-01-13 12:08:00,Wager,,-25.0,240.8
Draftkings,2022-01-13 23:24:00,Winnings,,37.5,278.3
Draftkings,2022-01-14 00:20:00,Wager,,-25.34,252.96
Draftkings,2022-01-14 21:03:00,Wager,,-2.0,250.96
Draftkings,2022-01-15 11:58:00,Wager,,-10.0,240.96
Draftkings,2022-01-15 19:05:00,Wager,,-12.0,228.96
