Book,Time,Action,Bonus,Change,Balance
Fanduel,2021-04-01 14:48:00,Deposit,,50.0,50.0
Fanduel,2021-04-01 15:11:00,Wager,,-5.0,45.0
Fanduel,2021-04-01 15:23:00,Winnings,Bonus,50.0,95.0
Fanduel,2021-04-01 15:29:00,Wager,,-10.0,85.0
Fanduel,2021-04-02 12:45:00,Winnings,Bonus,10.0,95.0
Fanduel,2021-04-03 23:23:00,Winnings,,5.45,100.45
Fanduel,2021-04-04 17:44:00,Wager,,-10.0,90.45
Fanduel,2021-04-05 11:09:00,Winnings,Bonus,10.0,100.45
Fanduel,2021-04-05 17:24:00,Wager,,-10.0,90.45
Fanduel,2021-04-05 23:30:00,Winnings,,26.8,117.25
Fanduel,2021-04-06 17:22:00,Winnings,Bonus,195.0,312.25
Fanduel,2021-04-08 11:57:00,Wager,,-5.0,307.25
Fanduel,2021-04-08 11:58:00,Wager,,-5.0,302.25
Fanduel,2021-04-08 19:23:00,Winnings,,10.8,313.05
Fanduel,2021-04-11 15:30:00,Wager,,-0.1,312.95
Fanduel,2021-04-17 20:56:00,Wager,,-6.85,306.1
Fanduel,2021-04-18 10:42:00,Wager,,-2.5,303.6
Fanduel,2021-04-18 16:47:00,Wager,,-5.0,298.6
Fanduel,2021-04-18 22:21:00,Winnings,,13.0,311.6
Fanduel,2021-04-19 17:23:00,Wager,,-2.0,309.6
Fanduel,2021-04-20 16:28:00,Wager,,-8.0,301.6
Fanduel,2021-04-24 11:25:00,Wager,,-5.0,296.6
Fanduel,2021-04-24 19:09:00,Winnings,,8.97,305.57
Fanduel,2021-04-26 14:31:00,Wager,,-5.0,300.57
Fanduel,2021-04-27 16:55:00,Wager,,-5.0,295.57
Fanduel,2021-04-27 23:11:00,Winnings,,9.1,304.67
Fanduel,2021-04-28 16:59:00,Wager,,-5.0,299.67
Fanduel,2021-04-28 21:34:00,Wager,,-5.0,294.67
Fanduel,2021-04-28 21:45:00,Winnings,,2.3,296.97
Fanduel,2021-04-28 23:07:00,Winnings,,13.25,310.22
Fanduel,2021-04-29 22:22:00,Wager,,-25.0,285.22
Fanduel,2021-04-29 22:24:00,Winnings,,25.0,310.22
Fanduel,2021-04-29 22:24:00,Wager,,-25.0,285.22
Fanduel,2021-04-29 22:24:00,Winnings,Bonus,10.0,295.22
Fanduel,2021-05-04 00:15:00,Wager,,-5.0,290.22
Fanduel,2021-05-04 20:27:00,Wager,,5.0,295.22
Fanduel,2021-05-06 11:35:00,Wager,,-5.0,290.22
Fanduel,2021-05-07 14:00:00,Wager,,-5.0,285.22
Fanduel,2021-05-11 15:40:00,Wager,,-5.0,280.22
Fanduel,2021-05-11 23:37:00,Winnings,,10.7,290.92
Fanduel,2021-05-12 16:24:00,Wager,,-5.0,285.92
Fanduel,2021-05-14 12:47:00,Wager,,-5.0,280.92
Fanduel,2021-05-14 14:32:00,Wager,,-2.0,278.92
Fanduel,2021-05-16 18:48:00,Wager,,-3.0,275.92
Fanduel,2021-05-19 18:56:00,Wager,,-10.0,265.92
Fanduel,2021-05-20 00:42:00,Winnings,Bonus,10.0,275.92
Fanduel,2021-05-21 12:52:00,Wager,,-5.0,270.92
Fanduel,2021-05-22 10:39:00,Wager,,-5.0,265.92
Fanduel,2021-05-22 22:04:00,Winnings,,9.63,275.55
Fanduel,2021-05-23 10:47:00,Wager,,-4.0,271.55
Fanduel,2021-05-23 15:45:00,Winnings,,7.64,279.19
Fanduel,2021-05-23 18:07:00,Wager,,-4.0,275.19
Fanduel,2021-05-23 18:07:00,Winnings,,4.0,279.19
Fanduel,2021-05-23 18:08:00,Wager,,-2.0,277.19
Fanduel,2021-05-25 11:24:00,Wager,,-5.0,272.19
Fanduel,2021-06-06 12:41:00,Wager,,-5.0,267.19
Fanduel,2021-06-12 09:43:00,Wager,,-15.0,252.19
Fanduel,2021-07-01 12:29:00,Wager,,-5.0,247.19
Fanduel,2021-07-09 16:31:00,Wager,,-2.0,245.19
Fanduel,2021-07-10 14:14:00,Wager,,-10.0,235.19
Fanduel,2021-07-11 00:32:00,Winnings,,17.94,253.13
Fanduel,2021-07-23 21:16:00,Wager,,-3.0,250.13
Fanduel,2021-08-23 12:34:00,Winnings,Bonus,-85.55,164.58
Fanduel,2021-08-26 10:59:00,Winnings,Bonus,5.0,169.58
Fanduel,2021-08-28 17:59:00,Wager,,-10.0,159.58
Fanduel,2021-08-28 18:01:00,Winnings,,10.0,169.58
Fanduel,2021-08-28 18:04:00,Wager,,-10.0,159.58
Fanduel,2021-08-28 21:02:00,Winnings,Bonus,10.0,169.58
Fanduel,2021-09-01 21:28:00,Wager,,-10.0,159.58
Fanduel,2021-09-02 11:55:00,Winnings,Bonus,-5.0,154.58
Fanduel,2021-09-04 22:50:00,Winnings,Bonus,10.0,164.58
Fanduel,2021-09-07 10:26:00,Wager,,-50.0,114.58
Fanduel,2021-09-07 10:31:00,Wager,,-10.0,104.58
Fanduel,2021-09-11 18:28:00,Winnings,Bonus,150.0,254.58
Fanduel,2021-09-12 23:12:00,Winnings,Bonus,10.0,264.58
Fanduel,2021-09-13 14:40:00,Wager,,-10.0,254.58
Fanduel,2021-09-13 22:53:00,Winnings,,19.26,273.84
Fanduel,2021-09-15 17:51:00,Wager,,-5.0,268.84
Fanduel,2021-09-15 22:51:00,Winnings,,12.5,281.34
Fanduel,2021-09-17 13:33:00,Wager,,-1.0,280.34
Fanduel,2021-09-19 11:17:00,Wager,,-10.0,270.34
Fanduel,2021-09-19 11:20:00,Wager,,-10.0,260.34
Fanduel,2021-09-19 14:45:00,Winnings,,19.52,279.86
Fanduel,2021-09-19 15:57:00,Winnings,Bonus,10.0,289.86
Fanduel,2021-09-20 12:07:00,Winnings,Bonus,5.0,294.86
Fanduel,2021-09-21 12:11:00,Wager,,-0.86,294.0
Fanduel,2021-09-23 09:06:00,Wager,,-10.0,284.0
Fanduel,2021-09-23 17:43:00,Winnings,,19.8,303.8
Fanduel,2021-09-24 10:12:00,Wager,,-5.0,298.8
Fanduel,2021-09-24 10:13:00,Wager,,-3.0,295.8
Fanduel,2021-09-24 17:00:00,Winnings,,8.42,304.22
Fanduel,2021-09-24 17:57:00,Winnings,,3.0,307.22
Fanduel,2021-09-24 17:58:00,Wager,,-5.0,302.22
Fanduel,2021-09-24 18:10:00,Wager,,-5.0,297.22
Fanduel,2021-09-24 18:11:00,Wager,,-5.0,292.22
Fanduel,2021-09-24 22:47:00,Winnings,,9.55,301.77
Fanduel,2021-09-25 12:59:00,Wager,,-10.0,291.77
Fanduel,2021-09-25 17:04:00,Winnings,,9.46,301.23
Fanduel,2021-09-25 17:40:00,Winnings,,19.52,320.75
Fanduel,2021-09-25 19:29:00,Wager,,-10.0,310.75
Fanduel,2021-09-25 19:36:00,Wager,,-20.0,290.75
Fanduel,2021-09-26 09:44:00,Winnings,,20.0,310.75
Fanduel,2021-09-26 09:48:00,Wager,,-20.0,290.75
Fanduel,2021-09-26 10:59:00,Wager,,-7.0,283.75
Fanduel,2021-09-26 16:08:00,Winnings,Bonus,10.0,293.75
Fanduel,2021-09-26 16:09:00,Winnings,Bonus,10.0,303.75
Fanduel,2021-09-26 17:56:00,Winnings,,13.67,317.42
Fanduel,2021-09-27 08:53:00,Wager,,-10.0,307.42
Fanduel,2021-09-27 11:13:00,Winnings,Bonus,5.0,312.42
Fanduel,2021-09-27 23:27:00,Winnings,,18.47,330.89
Fanduel,2021-09-28 00:05:00,Wager,,-7.0,323.89
Fanduel,2021-09-28 09:30:00,Wager,,-3.0,320.89
Fanduel,2021-09-28 21:39:00,Winnings,,5.31,326.2
Fanduel,2021-09-28 22:42:00,Winnings,,14.28,340.48
Fanduel,2021-09-29 11:57:00,Wager,,-9.0,331.48
Fanduel,2021-09-29 21:40:00,Wager,,-0.48,331.0
Fanduel,2021-10-02 23:02:00,Wager,,-10.0,321.0
Fanduel,2021-10-03 00:24:00,Wager,,-1.5,319.5
Fanduel,2021-10-03 16:35:00,Winnings,,52.17,371.67
Fanduel,2021-10-04 13:32:00,Winnings,Bonus,5.0,376.67
Fanduel,2021-10-05 12:59:00,Wager,,-20.0,356.67
Fanduel,2021-10-05 23:26:00,Winnings,,53.39,410.06
Fanduel,2021-10-05 23:27:00,Winnings,Bonus,10.0,420.06
Fanduel,2021-10-05 23:38:00,Wager,,-1.16,418.9
Fanduel,2021-10-08 12:09:00,Wager,,-20.0,398.9
Fanduel,2021-10-09 11:32:00,Wager,,-10.0,388.9
Fanduel,2021-10-09 11:33:00,Wager,,-7.5,381.4
Fanduel,2021-10-10 16:25:00,Winnings,,7.5,388.9
Fanduel,2021-10-10 19:21:00,Winnings,Bonus,10.0,398.9
Fanduel,2021-10-10 19:45:00,Wager,,-20.0,378.9
Fanduel,2021-10-10 19:46:00,Winnings,,20.0,398.9
Fanduel,2021-10-10 19:47:00,Wager,,-20.0,378.9
Fanduel,2021-10-11 00:37:00,Winnings,,105.98,484.88
Fanduel,2021-10-11 00:38:00,Winnings,Bonus,10.0,494.88
Fanduel,2021-10-11 11:20:00,Winnings,Bonus,5.0,499.88
Fanduel,2021-10-11 13:27:00,Wager,,-0.88,499.0
Fanduel,2021-10-11 23:33:00,Winnings,,2.9,501.9
Fanduel,2021-10-12 13:41:00,Wager,,-0.9,501.0
Fanduel,2021-10-14 09:28:00,Wager,,-20.0,481.0
Fanduel,2021-10-14 16:52:00,Wager,,-1.0,480.0
Fanduel,2021-10-17 01:28:00,Wager,,-10.0,470.0
Fanduel,2021-10-17 01:29:00,Wager,,-5.0,465.0
Fanduel,2021-10-17 01:31:00,Wager,,-5.0,460.0
Fanduel,2021-10-17 10:19:00,Wager,,-10.0,450.0
Fanduel,2021-10-17 16:06:00,Winnings,,11.54,461.54
Fanduel,2021-10-17 16:15:00,Winnings,Bonus,10.0,471.54
Fanduel,2021-10-17 18:21:00,Winnings,,0.35,471.89
Fanduel,2021-10-17 18:55:00,Wager,,-10.0,461.89
Fanduel,2021-10-18 23:24:00,Winnings,Bonus,10.0,471.89
Fanduel,2021-10-19 19:48:00,Wager,,-10.0,461.89
Fanduel,2021-10-20 21:36:00,Winnings,Bonus,10.0,471.89
Fanduel,2021-10-21 18:35:00,Wager,,-1.89,470.0
Fanduel,2021-10-22 19:01:00,Wager,,-4.0,466.0
Fanduel,2021-10-22 19:03:00,Wager,,-1.0,465.0
Fanduel,2021-10-22 22:19:00,Winnings,,3.55,468.55
Fanduel,2021-10-23 10:35:00,Wager,,-8.55,460.0
Fanduel,2021-10-23 20:12:00,Wager,,-20.0,440.0
Fanduel,2021-10-23 21:39:00,Wager,,-10.0,430.0
Fanduel,2021-10-24 16:02:00,Wager,,-5.0,425.0
Fanduel,2021-10-24 16:18:00,Winnings,Bonus,10.0,435.0
Fanduel,2021-10-24 23:25:00,Wager,,-39.5,395.5
Fanduel,2021-10-24 23:27:00,Wager,,-52.28,343.22
Fanduel,2021-10-25 23:19:00,Winnings,,137.06,480.28
Fanduel,2021-10-25 23:21:00,Winnings,Bonus,10.0,490.28
Fanduel,2021-10-26 12:54:00,Wager,,-10.0,480.28
Fanduel,2021-10-26 13:05:00,Wager,,-10.0,470.28
Fanduel,2021-10-26 15:19:00,Wager,,-10.01,460.27
Fanduel,2021-10-26 15:23:00,Wager,,-3.0,455.0
Fanduel,2021-10-26 15:23:00,Wager,,-2.27,458.0
Fanduel,2021-10-27 00:10:00,Wager,,-4.73,450.27
Fanduel,2021-10-27 00:22:00,Winnings,Bonus,10.0,460.27
Fanduel,2021-10-27 00:33:00,Winnings,,8.61,468.88
Fanduel,2021-10-28 15:07:00,Winnings,Bonus,10.0,478.88
Fanduel,2021-10-29 15:46:00,Wager,,-10.0,468.88
Fanduel,2021-10-29 15:54:00,Wager,,-25.0,443.88
Fanduel,2021-10-29 19:43:00,Wager,,-5.0,438.88
Fanduel,2021-10-29 23:26:00,Winnings,Bonus,10.0,448.88
Fanduel,2021-10-30 15:45:00,Wager,,-20.0,428.88
Fanduel,2021-10-30 15:47:00,Wager,,-5.0,423.88
Fanduel,2021-10-30 15:48:00,Wager,,-10.0,413.88
Fanduel,2021-10-30 15:50:00,Wager,,-5.0,408.88
Fanduel,2021-10-30 19:55:00,Winnings,Bonus,25.0,433.88
Fanduel,2021-10-31 13:48:00,Wager,,-7.0,426.88
Fanduel,2021-10-31 15:34:00,Wager,,-5.0,421.88
Fanduel,2021-10-31 16:14:00,Winnings,,11.11,432.99
Fanduel,2021-10-31 16:19:00,Winnings,Bonus,10.0,452.71
Fanduel,2021-10-31 16:19:00,Winnings,,11.3,464.01
Fanduel,2021-10-31 16:19:00,Winnings,,16.66,480.67
Fanduel,2021-10-31 16:19:00,Winnings,,9.72,490.39000000000004
Fanduel,2021-10-31 16:21:00,Wager,,-10.0,470.67
Fanduel,2021-10-31 16:36:00,Winnings,,11.5,482.17
Fanduel,2021-10-31 16:56:00,Wager,,-3.0,479.17
Fanduel,2021-10-31 19:35:00,Wager,,-1.0,478.17
Fanduel,2021-10-31 19:36:00,Winnings,Bonus,10.0,488.17
Fanduel,2021-10-31 19:40:00,Winnings,,5.73,493.9
Fanduel,2021-11-01 14:19:00,Winnings,Bonus,5.0,498.9
Fanduel,2021-11-02 15:26:00,Wager,,-10.0,488.9
Fanduel,2021-11-02 21:05:00,Wager,,-20.0,468.9
Fanduel,2021-11-02 21:54:00,Winnings,Bonus,10.0,478.9
Fanduel,2021-11-02 21:55:00,Winnings,,23.85,502.75
Fanduel,2021-11-03 19:09:00,Wager,,-2.75,500.0
Fanduel,2021-11-04 20:12:00,Wager,,-6.5,493.5
Fanduel,2021-11-07 10:28:00,Wager,,-20.0,473.5
Fanduel,2021-11-07 15:44:00,Wager,,-10.0,463.5
Fanduel,2021-11-07 15:47:00,Wager,,-9.75,453.75
Fanduel,2021-11-07 15:51:00,Wager,,-10.0,443.75
Fanduel,2021-11-07 15:51:00,Wager,,-10.0,433.75
Fanduel,2021-11-07 16:05:00,Winnings,,16.16,449.91
Fanduel,2021-11-07 16:06:00,Winnings,Bonus,10.0,459.91
Fanduel,2021-11-07 16:12:00,Winnings,,18.2,478.11
Fanduel,2021-11-07 16:12:00,Winnings,,14.88,492.99
Fanduel,2021-11-07 16:12:00,Winnings,,14.65,507.64
Fanduel,2021-11-07 16:22:00,Wager,,-10.0,497.64
Fanduel,2021-11-07 17:34:00,Wager,,-10.0,487.64
Fanduel,2021-11-07 19:33:00,Winnings,Bonus,10.0,497.64
Fanduel,2021-11-07 19:37:00,Winnings,,18.7,516.34
Fanduel,2021-11-08 22:57:00,Wager,,-5.0,511.34
Fanduel,2021-11-09 18:47:00,Wager,,-10.0,501.34
Fanduel,2021-11-09 22:30:00,Winnings,Bonus,10.0,511.34
Fanduel,2021-11-09 23:05:00,Wager,,-10.0,501.34
Fanduel,2021-11-11 22:01:00,Wager,,-5.0,496.34
Fanduel,2021-11-12 22:19:00,Wager,,-0.34,496.0
Fanduel,2021-11-12 22:51:00,Winnings,,2.89,498.89
Fanduel,2021-11-13 12:37:00,Wager,,-20.0,478.89
Fanduel,2021-11-13 17:25:00,Wager,,-5.0,473.89
Fanduel,2021-11-13 19:04:00,Winnings,,9.63,483.52
Fanduel,2021-11-14 15:32:00,Wager,,-35.0,448.52
Fanduel,2021-11-14 15:50:00,Wager,,-100.0,348.52
Fanduel,2021-11-14 16:02:00,Winnings,,102.22,515.4
Fanduel,2021-11-14 16:02:00,Winnings,,64.66,413.18
Fanduel,2021-11-14 16:06:00,Winnings,Bonus,10.0,525.4
Fanduel,2021-11-14 16:18:00,Wager,,-10.0,515.4
Fanduel,2021-11-14 19:26:00,Winnings,Bonus,10.0,525.4
Fanduel,2021-11-15 13:44:00,Winnings,Bonus,5.0,530.4
Fanduel,2021-11-16 19:56:00,Wager,,-10.0,520.4
Fanduel,2021-11-17 00:17:00,Winnings,Bonus,10.0,530.4
Fanduel,2021-11-21 10:53:00,Wager,,-20.0,510.4
Fanduel,2021-11-21 11:37:00,Wager,,-10.0,500.4
Fanduel,2021-11-21 15:03:00,Wager,,-25.0,475.4
Fanduel,2021-11-21 16:02:00,Winnings,,36.36,511.76
Fanduel,2021-11-21 16:04:00,Winnings,Bonus,10.0,521.76
Fanduel,2021-11-21 16:18:00,Wager,,-10.0,511.76
Fanduel,2021-11-21 19:28:00,Winnings,Bonus,10.0,521.76
Fanduel,2021-11-24 00:32:00,Wager,,-10.0,511.76
Fanduel,2021-11-24 00:34:00,Wager,,-10.0,501.76
Fanduel,2021-11-24 21:07:00,Wager,,-5.0,496.76
Fanduel,2021-11-25 11:23:00,Wager,,-3.0,493.76
Fanduel,2021-11-25 14:13:00,Wager,,-7.0,486.76
Fanduel,2021-11-25 15:41:00,Winnings,,13.6,500.36
Fanduel,2021-11-25 18:20:00,Wager,,-15.0,485.36
Fanduel,2021-11-25 23:14:00,Winnings,,30.0,515.36
Fanduel,2021-11-26 11:30:00,Winnings,Bonus,5.0,520.36
Fanduel,2021-11-27 11:21:00,Wager,,-5.0,515.36
Fanduel,2021-11-27 11:29:00,Winnings,,5.0,520.36
Fanduel,2021-11-27 11:29:00,Wager,,-5.0,515.36
Fanduel,2021-11-28 19:55:00,Wager,,-5.0,510.36
Fanduel,2021-11-28 22:43:00,Wager,,-15.0,495.36
Fanduel,2021-11-30 08:57:00,Wager,,-10.0,485.36
Fanduel,2021-11-30 10:23:00,Winnings,,10.0,495.36
Fanduel,2021-11-30 13:12:00,Winnings,Bonus,10.0,505.36
Fanduel,2021-11-30 18:19:00,Wager,,-10.0,495.36
Fanduel,2021-11-30 22:04:00,Wager,,-5.0,480.36
Fanduel,2021-11-30 22:04:00,Wager,,-10.0,485.36
Fanduel,2021-12-01 00:23:00,Winnings,Bonus,10.0,490.36
Fanduel,2021-12-02 20:02:00,Wager,,-10.0,480.36
Fanduel,2021-12-02 20:02:00,Wager,,-25.0,455.36
Fanduel,2021-12-02 23:36:00,Winnings,,70.0,525.36
Fanduel,2021-12-03 15:48:00,Wager,,-10.0,515.36
Fanduel,2021-12-03 23:32:00,Winnings,,19.09,534.45
Fanduel,2021-12-05 02:37:00,Wager,,-20.0,514.45
Fanduel,2021-12-05 02:42:00,Wager,,-15.0,499.45
Fanduel,2021-12-05 10:07:00,Wager,,-5.0,494.45
Fanduel,2021-12-05 13:31:00,Wager,,-10.0,484.45
Fanduel,2021-12-05 16:08:00,Winnings,,22.0,506.45
Fanduel,2021-12-05 18:51:00,Wager,,-8.0,498.45
Fanduel,2021-12-05 19:07:00,Winnings,,17.6,516.05
Fanduel,2021-12-05 19:07:00,Winnings,Bonus,10.0,526.05
Fanduel,2021-12-05 20:18:00,Wager,,-5.0,521.05
Fanduel,2021-12-06 18:55:00,Wager,,-10.0,511.05
Fanduel,2021-12-06 18:56:00,Wager,,-5.0,506.05
Fanduel,2021-12-06 19:07:00,Wager,,-5.0,501.05
Fanduel,2021-12-06 23:10:00,Winnings,Bonus,10.0,511.05
Fanduel,2021-12-06 23:16:00,Winnings,,9.55,520.6
Fanduel,2021-12-06 23:21:00,Winnings,,16.0,536.6
Fanduel,2021-12-07 18:42:00,Wager,,-10.0,526.6
Fanduel,2021-12-07 18:49:00,Wager,,-3.0,523.6
Fanduel,2021-12-07 23:00:00,Wager,,-2.0,521.6
Fanduel,2021-12-08 00:29:00,Winnings,Bonus,10.0,531.6
Fanduel,2021-12-09 08:54:00,Wager,,-15.0,516.6
Fanduel,2021-12-09 08:56:00,Wager,,-2.0,514.6
Fanduel,2021-12-10 22:07:00,Wager,,-1.0,513.6
Fanduel,2021-12-10 22:19:00,Winnings,,7.5,521.1
Fanduel,2021-12-11 19:42:00,Wager,,-10.0,511.1
Fanduel,2021-12-11 19:48:00,Wager,,-10.0,501.1
Fanduel,2021-12-11 20:01:00,Wager,,-5.0,496.1
Fanduel,2021-12-12 01:02:00,Wager,,-5.0,491.1
Fanduel,2021-12-12 01:05:00,Wager,,-5.0,486.1
Fanduel,2021-12-12 15:18:00,Wager,,-2.0,484.1
Fanduel,2021-12-12 16:35:00,Winnings,,2.87,486.97
Fanduel,2021-12-12 21:57:00,Winnings,,20.0,506.97
Fanduel,2021-12-12 22:07:00,Wager,,-5.0,501.97
Fanduel,2021-12-13 13:16:00,Wager,,-5.0,496.97
Fanduel,2021-12-13 23:18:00,Winnings,Bonus,10.0,506.97
Fanduel,2021-12-14 14:50:00,Wager,,-3.0,503.97
Fanduel,2021-12-14 14:56:00,Wager,,-10.0,493.97
Fanduel,2021-12-14 14:58:00,Wager,,-3.0,490.97
Fanduel,2021-12-14 19:42:00,Winnings,,7.5,498.47
Fanduel,2021-12-14 21:58:00,Winnings,Bonus,10.0,508.47
Fanduel,2021-12-15 20:57:00,Wager,,-5.0,503.47
Fanduel,2021-12-15 22:12:00,Winnings,,7.27,510.74
Fanduel,2021-12-16 11:24:00,Wager,,-3.0,507.74
Fanduel,2021-12-16 19:55:00,Wager,,-1.0,506.74
Fanduel,2021-12-16 20:19:00,Wager,,-0.5,506.24
Fanduel,2021-12-17 22:10:00,Wager,,-20.0,486.24
Fanduel,2021-12-17 22:12:00,Winnings,,20.0,506.24
Fanduel,2021-12-17 22:16:00,Wager,,-20.0,486.24
Fanduel,2021-12-19 00:04:00,Wager,,-4.5,481.74
Fanduel,2021-12-19 10:18:00,Wager,,-5.0,476.74
Fanduel,2021-12-19 10:26:00,Wager,,-5.0,471.74
Fanduel,2021-12-19 13:10:00,Wager,,-5.0,466.74
Fanduel,2021-12-20 11:59:00,Winnings,Bonus,5.0,471.74
Fanduel,2021-12-20 12:39:00,Wager,,-8.0,458.74
Fanduel,2021-12-20 12:39:00,Wager,,-5.0,466.74
Fanduel,2021-12-20 15:51:00,Wager,,-5.0,453.74
Fanduel,2021-12-20 20:04:00,Winnings,,113.84,567.58
Fanduel,2021-12-20 20:04:00,Winnings,Bonus,10.0,577.58
Fanduel,2021-12-20 23:15:00,Wager,,-1.0,576.58
Fanduel,2021-12-20 23:24:00,Winnings,,5.8,582.38
Fanduel,2021-12-21 16:16:00,Wager,,-5.0,577.38
Fanduel,2021-12-21 16:21:00,Wager,,-5.0,572.38
Fanduel,2021-12-21 16:22:00,Wager,,-4.0,568.38
Fanduel,2021-12-21 16:22:00,Wager,,-1.0,567.38
Fanduel,2021-12-21 16:31:00,Wager,,-10.0,557.38
Fanduel,2021-12-21 20:22:00,Wager,,-3.0,554.38
Fanduel,2021-12-21 21:47:00,Winnings,Bonus,10.0,564.38
Fanduel,2021-12-21 21:58:00,Winnings,Bonus,10.0,574.38
Fanduel,2021-12-21 22:12:00,Winnings,,5.61,579.99
Fanduel,2021-12-22 11:06:00,Wager,,-10.0,569.99
Fanduel,2021-12-22 21:05:00,Wager,,-3.0,566.99
Fanduel,2021-12-22 21:48:00,Wager,,-7.0,559.99
Fanduel,2021-12-22 22:47:00,Wager,,-5.0,554.99
Fanduel,2021-12-22 23:08:00,Winnings,,6.36,561.35
Fanduel,2021-12-22 23:08:00,Winnings,,9.55,570.9
Fanduel,2021-12-22 23:08:00,Winnings,Bonus,10.0,580.9
Fanduel,2021-12-22 23:08:00,Winnings,,17.08,597.98
Fanduel,2021-12-23 19:37:00,Wager,,-10.0,587.98
Fanduel,2021-12-23 19:40:00,Wager,,-10.0,577.98
Fanduel,2021-12-23 19:47:00,Wager,,-5.0,572.98
Fanduel,2021-12-23 21:39:00,Wager,,-2.0,570.98
Fanduel,2021-12-23 23:14:00,Winnings,Bonus,10.0,580.98
Fanduel,2021-12-23 23:19:00,Winnings,,3.67,584.65
Fanduel,2021-12-24 11:27:00,Wager,,-5.0,579.65
Fanduel,2021-12-24 11:30:00,Wager,,-5.0,574.65
Fanduel,2021-12-24 11:32:00,Wager,,-5.0,569.65
Fanduel,2021-12-24 11:33:00,Wager,,-5.0,564.65
Fanduel,2021-12-24 12:11:00,Wager,,-10.0,554.65
Fanduel,2021-12-25 19:35:00,Winnings,,26.84,581.49
Fanduel,2021-12-26 11:23:00,Winnings,Bonus,10.0,591.49
Fanduel,2021-12-26 16:18:00,Winnings,Bonus,10.0,601.49
Fanduel,2021-12-27 11:13:00,Winnings,Bonus,5.0,606.49
Fanduel,2021-12-31 13:06:00,Wager,,-5.0,601.49
Fanduel,2021-12-31 13:20:00,Wager,,-5.0,596.49
Fanduel,2021-12-31 13:34:00,Wager,,-5.0,591.49
Fanduel,2021-12-31 13:39:00,Wager,,-5.0,586.49
Fanduel,2021-12-31 13:42:00,Wager,,-5.0,581.49
Fanduel,2021-12-31 13:44:00,Wager,,-1.0,580.49
Fanduel,2021-12-31 13:47:00,Wager,,-14.0,566.49
Fanduel,2021-12-31 13:48:00,Wager,,-1.0,565.49
Fanduel,2021-12-31 19:29:00,Wager,,-2.0,563.49
Fanduel,2021-12-31 22:12:00,Winnings,,3.7,567.19
Fanduel,2022-01-01 16:51:00,Wager,,-2.0,565.19
Fanduel,2022-01-01 21:05:00,Wager,,-8.0,557.19
Fanduel,2022-01-01 21:47:00,Wager,,-2.0,555.19
Fanduel,2022-01-02 00:26:00,Winnings,,37.5,592.69
Fanduel,2022-01-02 00:57:00,Wager,,-5.0,587.69
Fanduel,2022-01-02 01:05:00,Wager,,-5.0,582.69
Fanduel,2022-01-02 01:14:00,Wager,,-5.0,577.69
Fanduel,2022-01-02 01:21:00,Wager,,-5.0,572.69
Fanduel,2022-01-02 01:24:00,Wager,,-10.0,562.69
Fanduel,2022-01-02 12:52:00,Winnings,Bonus,10.0,572.69
Fanduel,2022-01-02 15:40:00,Wager,,-5.0,567.69
Fanduel,2022-01-02 16:10:00,Winnings,,25.26,592.95
Fanduel,2022-01-02 16:11:00,Winnings,Bonus,10.0,602.95
