Book,Time,Action,Bonus,Change,Balance
Fanduel,2021-04-01 14:48:00,Deposit,,50.0,50.0
Fanduel,2021-04-01 15:11:00,Wager,,-5.0,45.0
Fanduel,2021-04-01 15:23:00,Winnings,Bonus,50.0,95.0
Fanduel,2021-04-01 15:29:00,Wager,,-10.0,85.0
Fanduel,2021-04-02 12:45:00,Winnings,Bonus,10.0,95.0
Fanduel,2021-04-03 23:23:00,Winnings,,5.45,100.45
Fanduel,2021-04-04 17:44:00,Wager,,-10.0,90.45
Fanduel,2021-04-05 11:09:00,Winnings,Bonus,10.0,100.45
Fanduel,2021-04-05 17:24:00,Wager,,-10.0,90.45
Fanduel,2021-04-05 23:30:00,Winnings,,26.8,117.25
Fanduel,2021-04-06 17:22:00,Winnings,Bonus,195.0,312.25
Fanduel,2021-04-08 11:57:00,Wager,,-5.0,307.25
Fanduel,2021-04-08 11:58:00,Wager,,-5.0,302.25
Fanduel,2021-04-08 19:23:00,Winnings,,10.8,313.05
Fanduel,2021-04-11 15:30:00,Wager,,-0.1,312.95
Fanduel,2021-04-17 20:56:00,Wager,,-6.85,306.1
Fanduel,2021-04-18 10:42:00,Wager,,-2.5,303.6
Fanduel,2021-04-18 16:47:00,Wager,,-5.0,298.6
Fanduel,2021-04-18 22:21:00,Winnings,,13.0,311.6
Fanduel,2021-04-19 17:23:00,Wager,,-2.0,309.6
Fanduel,2021-04-20 16:28:00,Wager,,-8.0,301.6
Fanduel,2021-04-24 11:25:00,Wager,,-5.0,296.6
Fanduel,2021-04-24 19:09:00,Winnings,,8.97,305.57
Fanduel,2021-04-26 14:31:00,Wager,,-5.0,300.57
Fanduel,2021-04-27 16:55:00,Wager,,-5.0,295.57
Fanduel,2021-04-27 23:11:00,Winnings,,9.1,304.67
Fanduel,2021-04-28 16:59:00,Wager,,-5.0,299.67
Fanduel,2021-04-28 21:34:00,Wager,,-5.0,294.67
Fanduel,2021-04-28 21:45:00,Winnings,,2.3,296.97
Fanduel,2021-04-28 23:07:00,Winnings,,13.25,310.22
Fanduel,2021-04-29 22:22:00,Wager,,-25.0,285.22
Fanduel,2021-04-29 22:24:00,Wager,,-25.0,285.22
Fanduel,2021-04-29 22:24:00,Winnings,Bonus,10.0,295.22
Fanduel,2021-04-29 22:24:00,Winnings,,25.0,310.22
Fanduel,2021-05-04 00:15:00,Wager,,-5.0,290.22
Fanduel,2021-05-04 20:27:00,Wager,,5.0,295.22
Fanduel,2021-05-06 11:35:00,Wager,,-5.0,290.22
Fanduel,2021-05-07 14:00:00,Wager,,-5.0,285.22
Fanduel,2021-05-11 15:40:00,Wager,,-5.0,280.22
Fanduel,2021-05-11 23:37:00,Winnings,,10.7,290.92
Fanduel,2021-05-12 16:24:00,Wager,,-5.0,285.92
Fanduel,2021-05-14 12:47:00,Wager,,-5.0,280.92
Fanduel,2021-05-14 14:32:00,Wager,,-2.0,278.92
Fanduel,2021-05-16 18:48:00,Wager,,-3.0,275.92
Fanduel,2021-05-19 18:56:00,Wager,,-10.0,265.92
Fanduel,2021-05-20 00:42:00,Winnings,Bonus,10.0,275.92
Fanduel,2021-05-21 12:52:00,Wager,,-5.0,270.92
Fanduel,2021-05-22 10:39:00,Wager,,-5.0,265.92
Fanduel,2021-05-22 22:04:00,Winnings,,9.63,275.55
Fanduel,2021-05-23 10:47:00,Wager,,-4.0,271.55
Fanduel,2021-05-23 15:45:00,Winnings,,7.64,279.19
Fanduel,2021-05-23 18:07:00,Wager,,-4.0,275.19
Fanduel,2021-05-23 18:07:00,Winnings,,4.0,279.19
Fanduel,2021-05-23 18:08:00,Wager,,-2.0,277.19
Fanduel,2021-05-25 11:24:00,Wager,,-5.0,272.19
Fanduel,2021-06-06 12:41:00,Wager,,-5.0,267.19
Fanduel,2021-06-12 09:43:00,Wager,,-15.0,252.19
Fanduel,2021-07-01 12:29:00,Wager,,-5.0,247.19
Fanduel,2021-07-09 16:31:00,Wager,,-2.0,245.19
Fanduel,2021-07-10 14:14:00,Wager,,-10.0,235.19
Fanduel,2021-07-11 00:32:00,Winnings,,17.94,253.13
Fanduel,2021-07-23 21:16:00,Wager,,-3.0,250.13
Fanduel,2021-08-23 12:34:00,Winnings,Bonus,-85.55,164.58
Fanduel,2021-08-26 10:59:00,Winnings,Bonus,5.0,169.58
Fanduel,2021-08-28 17:59:00,Wager,,-10.0,159.58
Fanduel,2021-08-28 18:01:00,Winnings,,10.0,169.58
Fanduel,2021-08-28 18:04:00,Wager,,-10.0,159.58
Fanduel,2021-08-28 21:02:00,Winnings,Bonus,10.0,169.58
Fanduel,2021-09-01 21:28:00,Wager,,-10.0,159.58
Fanduel,2021-09-02 11:55:00,Winnings,Bonus,-5.0,154.58
Fanduel,2021-09-04 22:50:00,Winnings,Bonus,10.0,164.58
Fanduel,2021-09-07 10:26:00,Wager,,-50.0,114.58
Fanduel,2021-09-07 10:31:00,Wager,,-10.0,104.58
Fanduel,2021-09-11 18:28:00,Winnings,Bonus,150.0,254.58
Fanduel,2021-09-12 23:12:00,Winnings,Bonus,10.0,264.58
Fanduel,2021-09-13 14:40:00,Wager,,-10.0,254.58
Fanduel,2021-09-13 22:53:00,Winnings,,19.26,273.84
Fanduel,2021-09-15 17:51:00,Wager,,-5.0,268.84
Fanduel,2021-09-15 22:51:00,Winnings,,12.5,281.34
Fanduel,2021-09-17 13:33:00,Wager,,-1.0,280.34
Fanduel,2021-09-19 11:17:00,Wager,,-10.0,270.34
Fanduel,2021-09-19 11:20:00,Wager,,-10.0,260.34
Fanduel,2021-09-19 14:45:00,Winnings,,19.52,279.86
Fanduel,2021-09-19 15:57:00,Winnings,Bonus,10.0,289.86
Fanduel,2021-09-20 12:07:00,Winnings,Bonus,5.0,294.86
Fanduel,2021-09-21 12:11:00,Wager,,-0.86,294.0
Fanduel,2021-09-23 09:06:00,Wager,,-10.0,284.0
Fanduel,2021-09-23 17:43:00,Winnings,,19.8,303.8
Fanduel,2021-09-24 10:12:00,Wager,,-5.0,298.8
Fanduel,2021-09-24 10:13:00,Wager,,-3.0,295.8
Fanduel,2021-09-24 17:00:00,Winnings,,8.42,304.22
Fanduel,2021-09-24 17:57:00,Winnings,,3.0,307.22
Fanduel,2021-09-24 17:58:00,Wager,,-5.0,302.22
Fanduel,2021-09-24 18:10:00,Wager,,-5.0,297.22
Fanduel,2021-09-24 18:11:00,Wager,,-5.0,292.22
Fanduel,2021-09-24 22:47:00,Winnings,,9.55,301.77
Fanduel,2021-09-25 12:59:00,Wager,,-10.0,291.77
Fanduel,2021-09-25 17:04:00,Winnings,,9.46,301.23
Fanduel,2021-09-25 17:40:00,Winnings,,19.52,320.75
Fanduel,2021-09-25 19:29:00,Wager,,-10.0,310.75
Fanduel,2021-09-25 19:36:00,Wager,,-20.0,290.75
Fanduel,2021-09-26 09:44:00,Winnings,,20.0,310.75
Fanduel,2021-09-26 09:48:00,Wager,,-20.0,290.75
Fanduel,2021-09-26 10:59:00,Wager,,-7.0,283.75
Fanduel,2021-09-26 16:08:00,Winnings,Bonus,10.0,293.75
Fanduel,2021-09-26 16:09:00,Winnings,Bonus,10.0,303.75
Fanduel,2021-09-26 17:56:00,Winnings,,13.67,317.42
Fanduel,2021-09-27 08:53:00,Wager,,-10.0,307.42
Fanduel,2021-09-27 11:13:00,Winnings,Bonus,5.0,312.42
Fanduel,2021-09-27 23:27:00,Winnings,,18.47,330.89
Fanduel,2021-09-28 00:05:00,Wager,,-7.0,323.89
Fanduel,2021-09-28 09:30:00,Wager,,-3.0,320.89
Fanduel,2021-09-28 21:39:00,Winnings,,5.31,326.2
Fanduel,2021-09-28 22:42:00,Winnings,,14.28,340.48
Fanduel,2021-09-29 11:57:00,Wager,,-9.0,331.48
Fanduel,2021-09-29 21:40:00,Wager,,-0.48,331.0
Fanduel,2021-10-02 23:02:00,Wager,,-10.0,321.0
Fanduel,2021-10-03 00:24:00,Wager,,-1.5,319.5
Fanduel,2021-10-03 16:35:00,Winnings,,52.17,371.67
Fanduel,2021-10-04 13:32:00,Winnings,Bonus,5.0,376.67
Fanduel,2021-10-05 12:59:00,Wager,,-20.0,356.67
Fanduel,2021-10-05 23:26:00,Winnings,,53.39,410.06
Fanduel,2021-10-05 23:27:00,Winnings,Bonus,10.0,420.06
Fanduel,2021-10-05 23:38:00,Wager,,-1.16,418.9
Fanduel,2021-10-08 12:09:00,Wager,,-20.0,398.9
Fanduel,2021-10-09 11:32:00,Wager,,-10.0,388.9
Fanduel,2021-10-09 11:33:00,Wager,,-7.5,381.4
Fanduel,2021-10-10 16:25:00,Winnings,,7.5,388.9
Fanduel,2021-10-10 19:21:00,Winnings,Bonus,10.0,398.9
Fanduel,2021-10-10 19:45:00,Wager,,-20.0,378.9
Fanduel,2021-10-10 19:46:00,Winnings,,20.0,398.9
Fanduel,2021-10-10 19:47:00,Wager,,-20.0,378.9
Fanduel,2021-10-11 00:37:00,Winnings,,105.98,484.88
Fanduel,2021-10-11 00:38:00,Winnings,Bonus,10.0,494.88
Fanduel,2021-10-11 11:20:00,Winnings,Bonus,5.0,499.88
Fanduel,2021-10-11 13:27:00,Wager,,-0.88,499.0
Fanduel,2021-10-11 23:33:00,Winnings,,2.9,501.9
Fanduel,2021-10-12 13:41:00,Wager,,-0.9,501.0
Fanduel,2021-10-14 09:28:00,Wager,,-20.0,481.0
Fanduel,2021-10-14 16:52:00,Wager,,-1.0,480.0
Fanduel,2021-10-17 01:28:00,Wager,,-10.0,470.0
Fanduel,2021-10-17 01:29:00,Wager,,-5.0,465.0
Fanduel,2021-10-17 01:31:00,Wager,,-5.0,460.0
Fanduel,2021-10-17 10:19:00,Wager,,-10.0,450.0
Fanduel,2021-10-17 16:06:00,Winnings,,11.54,461.54
Fanduel,2021-10-17 16:15:00,Winnings,Bonus,10.0,471.54
Fanduel,2021-10-17 18:21:00,Winnings,,0.35,471.89
Fanduel,2021-10-17 18:55:00,Wager,,-10.0,461.89
Fanduel,2021-10-18 23:24:00,Winnings,Bonus,10.0,471.89
Fanduel,2021-10-19 19:48:00,Wager,,-10.0,461.89
Fanduel,2021-10-20 21:36:00,Winnings,Bonus,10.0,471.89
Fanduel,2021-10-21 18:35:00,Wager,,-1.89,470.0
Fanduel,2021-10-22 19:01:00,Wager,,-4.0,466.0
Fanduel,2021-10-22 19:03:00,Wager,,-1.0,465.0
Fanduel,2021-10-22 22:19:00,Winnings,,3.55,468.55
Fanduel,2021-10-23 10:35:00,Wager,,-8.55,460.0
Fanduel,2021-10-23 20:12:00,Wager,,-20.0,440.0
Fanduel,2021-10-23 21:39:00,Wager,,-10.0,430.0
Fanduel,2021-10-24 16:02:00,Wager,,-5.0,425.0
Fanduel,2021-10-24 16:18:00,Winnings,Bonus,10.0,435.0
Fanduel,2021-10-24 23:25:00,Wager,,-39.5,395.5
Fanduel,2021-10-24 23:27:00,Wager,,-52.28,343.22
Fanduel,2021-10-25 23:19:00,Winnings,,137.06,480.28
Fanduel,2021-10-25 23:21:00,Winnings,Bonus,10.0,490.28
Fanduel,2021-10-26 12:54:00,Wager,,-10.0,480.28
Fanduel,2021-10-26 13:05:00,Wager,,-10.0,470.28
Fanduel,2021-10-26 15:19:00,Wager,,-10.01,460.27
Fanduel,2021-10-26 15:23:00,Wager,,-3.0,455.0
Fanduel,2021-10-26 15:23:00,Wager,,-2.27,458.0
Fanduel,2021-10-27 00:10:00,Wager,,-4.73,450.27
Fanduel,2021-10-27 00:22:00,Winnings,Bonus,10.0,460.27
Fanduel,2021-10-27 00:33:00,Winnings,,8.61,468.88
Fanduel,2021-10-28 15:07:00,Winnings,Bonus,10.0,478.88
Fanduel,2021-10-29 15:46:00,Wager,,-10.0,468.88
Fanduel,2021-10-29 15:54:00,Wager,,-25.0,443.88
Fanduel,2021-10-29 19:43:00,Wager,,-5.0,438.88
Fanduel,2021-10-29 23:26:00,Winnings,Bonus,10.0,448.88
Fanduel,2021-10-30 15:45:00,Wager,,-20.0,428.88
Fanduel,2021-10-30 15:47:00,Wager,,-5.0,423.88
Fanduel,2021-10-30 15:48:00,Wager,,-10.0,413.88
Fanduel,2021-10-30 15:50:00,Wager,,-5.0,408.88
Fanduel,2021-10-30 19:55:00,Winnings,Bonus,25.0,433.88
Fanduel,2021-10-31 13:48:00,Wager,,-7.0,426.88
Fanduel,2021-10-31 15:34:00,Wager,,-5.0,421.88
Fanduel,2021-10-31 16:14:00,Winnings,,11.11,432.99
Fanduel,2021-10-31 16:19:00,Winnings,Bonus,10.0,452.71
Fanduel,2021-10-31 16:19:00,Winnings,,11.3,464.01
Fanduel,2021-10-31 16:19:00,Winnings,,9.72,473.73
Fanduel,2021-10-31 16:19:00,Winnings,,16.66,480.67
Fanduel,2021-10-31 16:21:00,Wager,,-10.0,470.67
Fanduel,2021-10-31 16:36:00,Winnings,,11.5,482.17
Fanduel,2021-10-31 16:56:00,Wager,,-3.0,479.17
Fanduel,2021-10-31 19:35:00,Wager,,-1.0,478.17
Fanduel,2021-10-31 19:36:00,Winnings,Bonus,10.0,488.17
Fanduel,2021-10-31 19:40:00,Winnings,,5.73,493.9
Fanduel,2021-11-01 14:19:00,Winnings,Bonus,5.0,498.9
Fanduel,2021-11-02 15:26:00,Wager,,-10.0,488.9
Fanduel,2021-11-02 21:05:00,Wager,,-20.0,468.9
Fanduel,2021-11-02 21:54:00,Winnings,Bonus,10.0,478.9
Fanduel,2021-11-02 21:55:00,Winnings,,23.85,502.75
Fanduel,2021-11-03 19:09:00,Wager,,-2.75,500.0
Fanduel,2021-11-04 20:12:00,Wager,,-6.5,493.5
Draftkings,2021-11-07 10:00:00,Deposit,,150.0,150.0
Draftkings,2021-11-07 10:03:00,Wager,,-5.0,145.0
Fanduel,2021-11-07 10:28:00,Wager,,-20.0,473.5
Fanduel,2021-11-07 15:44:00,Wager,,-10.0,463.5
Fanduel,2021-11-07 15:47:00,Wager,,-9.75,453.75
Fanduel,2021-11-07 15:51:00,Wager,,-10.0,433.75
Fanduel,2021-11-07 15:51:00,Wager,,-10.0,443.75
Fanduel,2021-11-07 16:05:00,Winnings,,16.16,449.91
Fanduel,2021-11-07 16:06:00,Winnings,Bonus,10.0,459.91
Fanduel,2021-11-07 16:12:00,Winnings,,18.2,478.11
Fanduel,2021-11-07 16:12:00,Winnings,,14.88,492.99
Fanduel,2021-11-07 16:12:00,Winnings,,14.65,507.64
Fanduel,2021-11-07 16:22:00,Wager,,-10.0,497.64
Fanduel,2021-11-07 17:34:00,Wager,,-10.0,487.64
Fanduel,2021-11-07 19:33:00,Winnings,Bonus,10.0,497.64
Fanduel,2021-11-07 19:37:00,Winnings,,18.7,516.34
Draftkings,2021-11-07 20:19:00,Wager,,-10.0,135.0
Draftkings,2021-11-08 13:27:00,Wager,,-7.0,128.0
Draftkings,2021-11-08 18:50:00,Wager,,-10.0,118.0
Fanduel,2021-11-08 22:57:00,Wager,,-5.0,511.34
Draftkings,2021-11-08 23:48:00,Winnings,,23.45,141.45
Draftkings,2021-11-08 23:48:00,Winnings,,8.22,149.67
Draftkings,2021-11-08 23:49:00,Winnings,Bonus,1.0,150.67
Draftkings,2021-11-09 00:26:00,Winnings,,36.0,186.67
Fanduel,2021-11-09 18:47:00,Wager,,-10.0,501.34
Draftkings,2021-11-09 18:52:00,Wager,,-0.67,186.0
Draftkings,2021-11-09 19:23:00,Wager,,-10.0,176.0
Fanduel,2021-11-09 22:30:00,Winnings,Bonus,10.0,511.34
Fanduel,2021-11-09 23:05:00,Wager,,-10.0,501.34
Draftkings,2021-11-10 00:11:00,Winnings,,71.42,247.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,248.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,249.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,250.42
Draftkings,2021-11-10 00:11:00,Winnings,Bonus,1.0,251.42
Draftkings,2021-11-10 00:17:00,Winnings,,2.01,253.43
Draftkings,2021-11-10 00:17:00,Winnings,,0.67,254.1
Draftkings,2021-11-10 17:38:00,Wager,,-10.0,244.1
Draftkings,2021-11-10 22:19:00,Winnings,,16.06,260.16
Draftkings,2021-11-10 22:19:00,Winnings,,3.03,263.19
Draftkings,2021-11-10 22:31:00,Winnings,Bonus,1.0,264.19
Draftkings,2021-11-11 12:25:00,Wager,,-10.0,254.19
Fanduel,2021-11-11 22:01:00,Wager,,-5.0,496.34
Draftkings,2021-11-12 18:30:00,Wager,,-1.19,253.0
Draftkings,2021-11-12 20:03:00,Wager,,-2.0,251.0
Fanduel,2021-11-12 22:19:00,Wager,,-0.34,496.0
Draftkings,2021-11-12 22:38:00,Winnings,Bonus,1.0,252.0
Fanduel,2021-11-12 22:51:00,Winnings,,2.89,498.89
Draftkings,2021-11-13 12:24:00,Wager,,-10.0,242.0
Draftkings,2021-11-13 12:26:00,Wager,,-2.0,240.0
Fanduel,2021-11-13 12:37:00,Wager,,-20.0,478.89
Fanduel,2021-11-13 17:25:00,Wager,,-5.0,473.89
Draftkings,2021-11-13 19:04:00,Winnings,Bonus,1.0,241.0
Fanduel,2021-11-13 19:04:00,Winnings,,9.63,483.52
Draftkings,2021-11-14 10:47:00,Wager,,-2.0,239.0
Draftkings,2021-11-14 12:50:00,Wager,,-5.0,234.0
Draftkings,2021-11-14 13:35:00,Winnings,,7.85,241.85
Draftkings,2021-11-14 13:35:00,Winnings,,2.15,244.0
Fanduel,2021-11-14 15:32:00,Wager,,-35.0,448.52
Fanduel,2021-11-14 15:50:00,Wager,,-100.0,348.52
Fanduel,2021-11-14 16:02:00,Winnings,,64.66,413.18
Fanduel,2021-11-14 16:02:00,Winnings,,102.22,515.4
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,245.0
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,246.0
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,247.0
Draftkings,2021-11-14 16:06:00,Winnings,Bonus,1.0,248.0
Fanduel,2021-11-14 16:06:00,Winnings,Bonus,10.0,525.4
Fanduel,2021-11-14 16:18:00,Wager,,-10.0,515.4
Draftkings,2021-11-14 17:03:00,Wager,,-10.0,238.0
Draftkings,2021-11-14 17:15:00,Winnings,Bonus,1.0,239.0
Draftkings,2021-11-14 19:22:00,Winnings,Bonus,1.0,240.0
Fanduel,2021-11-14 19:26:00,Winnings,Bonus,10.0,525.4
Draftkings,2021-11-14 19:43:00,Wager,,-5.0,235.0
Draftkings,2021-11-14 19:48:00,Wager,,-1.0,234.0
Fanduel,2021-11-15 13:44:00,Winnings,Bonus,5.0,530.4
Draftkings,2021-11-15 15:53:00,Wager,,-14.0,220.0
Draftkings,2021-11-15 23:10:00,Winnings,Bonus,1.0,221.0
Fanduel,2021-11-16 19:56:00,Wager,,-10.0,520.4
Draftkings,2021-11-16 19:58:00,Wager,,-1.0,220.0
Fanduel,2021-11-17 00:17:00,Winnings,Bonus,10.0,530.4
Draftkings,2021-11-17 16:23:00,Wager,,-5.0,215.0
Draftkings,2021-11-18 23:43:00,Wager,,-5.0,210.0
Fanduel,2021-11-21 10:53:00,Wager,,-20.0,510.4
Fanduel,2021-11-21 11:37:00,Wager,,-10.0,500.4
Fanduel,2021-11-21 15:03:00,Wager,,-25.0,475.4
Fanduel,2021-11-21 16:02:00,Winnings,,36.36,511.76
Fanduel,2021-11-21 16:04:00,Winnings,Bonus,10.0,521.76
Fanduel,2021-11-21 16:18:00,Wager,,-10.0,511.76
Fanduel,2021-11-21 19:28:00,Winnings,Bonus,10.0,521.76
Fanduel,2021-11-24 00:32:00,Wager,,-10.0,511.76
Fanduel,2021-11-24 00:34:00,Wager,,-10.0,501.76
Fanduel,2021-11-24 21:07:00,Wager,,-5.0,496.76
Fanduel,2021-11-25 11:23:00,Wager,,-3.0,493.76
Fanduel,2021-11-25 14:13:00,Wager,,-7.0,486.76
Fanduel,2021-11-25 15:41:00,Winnings,,13.6,500.36
Fanduel,2021-11-25 18:20:00,Wager,,-15.0,485.36
Fanduel,2021-11-25 23:14:00,Winnings,,30.0,515.36
Fanduel,2021-11-26 11:30:00,Winnings,Bonus,5.0,520.36
Fanduel,2021-11-27 11:21:00,Wager,,-5.0,515.36
Fanduel,2021-11-27 11:29:00,Wager,,-5.0,515.36
Fanduel,2021-11-27 11:29:00,Winnings,,5.0,520.36
Fanduel,2021-11-28 19:55:00,Wager,,-5.0,510.36
Draftkings,2021-11-28 20:17:00,Wager,,-10.0,200.0
Fanduel,2021-11-28 22:43:00,Wager,,-15.0,495.36
Draftkings,2021-11-29 00:13:00,Winnings,Bonus,1.0,201.0
Draftkings,2021-11-29 14:01:00,Wager,,-10.0,191.0
Draftkings,2021-11-29 14:02:00,Wager,,-1.0,190.0
Fanduel,2021-11-30 08:57:00,Wager,,-10.0,485.36
Fanduel,2021-11-30 10:23:00,Winnings,,10.0,495.36
Draftkings,2021-11-30 10:26:00,Wager,,-2.0,188.0
Fanduel,2021-11-30 13:12:00,Winnings,Bonus,10.0,505.36
Fanduel,2021-11-30 18:19:00,Wager,,-10.0,495.36
Draftkings,2021-11-30 18:39:00,Wager,,-12.0,176.0
Draftkings,2021-11-30 18:41:00,Wager,,-6.0,170.0
Draftkings,2021-11-30 21:29:00,Winnings,,9.52,179.52
Draftkings,2021-11-30 21:32:00,Winnings,Bonus,1.0,180.52
Fanduel,2021-11-30 22:04:00,Wager,,-5.0,480.36
Fanduel,2021-11-30 22:04:00,Wager,,-10.0,485.36
Draftkings,2021-11-30 23:45:00,Winnings,,13.29,193.81
Draftkings,2021-11-30 23:46:00,Winnings,,3.73,197.54
Draftkings,2021-12-01 00:20:00,Winnings,,17.45,214.99
Draftkings,2021-12-01 00:20:00,Winnings,,2.73,217.72
Draftkings,2021-12-01 00:21:00,Winnings,,11.45,229.17
Draftkings,2021-12-01 00:21:00,Winnings,,1.36,230.53
Draftkings,2021-12-01 00:23:00,Winnings,Bonus,1.0,231.53
Fanduel,2021-12-01 00:23:00,Winnings,Bonus,10.0,490.36
Draftkings,2021-12-01 18:29:00,Wager,,-10.0,221.53
Draftkings,2021-12-01 21:19:00,Winnings,,21.0,242.53
Draftkings,2021-12-01 21:19:00,Winnings,,5.5,248.03
Draftkings,2021-12-02 19:58:00,Wager,,-10.0,238.03
Fanduel,2021-12-02 20:02:00,Wager,,-25.0,455.36
Fanduel,2021-12-02 20:02:00,Wager,,-10.0,480.36
Fanduel,2021-12-02 23:36:00,Winnings,,70.0,525.36
Draftkings,2021-12-03 15:44:00,Wager,,-50.0,188.03
Fanduel,2021-12-03 15:48:00,Wager,,-10.0,515.36
Fanduel,2021-12-03 23:32:00,Winnings,,19.09,534.45
Draftkings,2021-12-03 23:39:00,Winnings,Bonus,1.0,189.03
Draftkings,2021-12-03 23:39:00,Winnings,Bonus,1.0,190.03
Draftkings,2021-12-04 12:02:00,Wager,,-13.0,177.03
Draftkings,2021-12-04 12:03:00,Wager,,-2.03,175.0
Draftkings,2021-12-04 12:07:00,Wager,,-10.0,165.0
Draftkings,2021-12-04 19:03:00,Winnings,Bonus,1.0,166.0
Fanduel,2021-12-05 02:37:00,Wager,,-20.0,514.45
Fanduel,2021-12-05 02:42:00,Wager,,-15.0,499.45
Fanduel,2021-12-05 10:07:00,Wager,,-5.0,494.45
Fanduel,2021-12-05 13:31:00,Wager,,-10.0,484.45
Draftkings,2021-12-05 14:43:00,Wager,,-0.5,165.5
Draftkings,2021-12-05 15:58:00,Winnings,Bonus,1.0,166.5
Fanduel,2021-12-05 16:08:00,Winnings,,22.0,506.45
Fanduel,2021-12-05 18:51:00,Wager,,-8.0,498.45
Fanduel,2021-12-05 19:07:00,Winnings,,17.6,516.05
Fanduel,2021-12-05 19:07:00,Winnings,Bonus,10.0,526.05
Draftkings,2021-12-05 19:37:00,Winnings,Bonus,1.0,167.5
Fanduel,2021-12-05 20:18:00,Wager,,-5.0,521.05
Draftkings,2021-12-05 21:07:00,Wager,,-1.5,166.0
Draftkings,2021-12-05 23:16:00,Winnings,,21.81,187.81
Draftkings,2021-12-05 23:16:00,Winnings,,8.69,196.5
Draftkings,2021-12-05 23:16:00,Winnings,Bonus,1.0,197.5
Fanduel,2021-12-06 18:55:00,Wager,,-10.0,511.05
Fanduel,2021-12-06 18:56:00,Wager,,-5.0,506.05
Draftkings,2021-12-06 19:01:00,Wager,,-5.0,192.5
Fanduel,2021-12-06 19:07:00,Wager,,-5.0,501.05
Draftkings,2021-12-06 19:18:00,Wager,,-2.0,190.5
Draftkings,2021-12-06 20:40:00,Winnings,,5.0,195.5
Draftkings,2021-12-06 20:40:00,Winnings,,0.99,196.49
Draftkings,2021-12-06 21:22:00,Winnings,Bonus,1.0,197.49
Fanduel,2021-12-06 23:10:00,Winnings,Bonus,10.0,511.05
Fanduel,2021-12-06 23:16:00,Winnings,,9.55,520.6
Fanduel,2021-12-06 23:21:00,Winnings,,16.0,536.6
Fanduel,2021-12-07 18:42:00,Wager,,-10.0,526.6
Draftkings,2021-12-07 18:49:00,Wager,,-12.0,185.49
Fanduel,2021-12-07 18:49:00,Wager,,-3.0,523.6
Draftkings,2021-12-07 21:55:00,Winnings,,22.43,207.92
Draftkings,2021-12-07 21:56:00,Winnings,,5.22,213.14
Fanduel,2021-12-07 23:00:00,Wager,,-2.0,521.6
Fanduel,2021-12-08 00:29:00,Winnings,Bonus,10.0,531.6
Draftkings,2021-12-08 17:27:00,Wager,,-1.14,212.0
Draftkings,2021-12-08 19:19:00,Wager,,-1.0,211.0
Fanduel,2021-12-09 08:54:00,Wager,,-15.0,516.6
Fanduel,2021-12-09 08:56:00,Wager,,-2.0,514.6
Draftkings,2021-12-09 14:23:00,Wager,,-9.0,202.0
